,id,alias,name,image_url,url,review_count,rating,price,display_phone,Exact_Address,Postal_Code,City,Country,latitude,longitude,categories_list,menu_available,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche
10,PI6edk8v1mpFWpCS56e-0g,le-vaudésir-paris,Le Vaudésir,https://s3-media3.fl.yelpcdn.com/bphoto/D_rJqD9Ek7BhJchXF13hRw/o.jpg,https://www.yelp.com/biz/le-vaud%C3%A9sir-paris?adjust_creative=UK7s4vpkX9H0hgrhe5u5xA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UK7s4vpkX9H0hgrhe5u5xA,27,4.8,€,+33 1 43 22 03 93,"41 rue Dareau, 75014 Paris, France",75014 Paris,Paris,FR,48.83035,2.33548,['Bistros'],False,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,
11,ijqSzadlZ9SCXvUEpMimcA,angelina-paris,Angelina,https://s3-media3.fl.yelpcdn.com/bphoto/yeAY17z0rsC_Pv27-gF-Yw/o.jpg,https://www.yelp.com/biz/angelina-paris?adjust_creative=UK7s4vpkX9H0hgrhe5u5xA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UK7s4vpkX9H0hgrhe5u5xA,1678,4.0,€€€,+33 1 42 60 82 00,"226 rue de Rivoli, 75001 Paris, France",75001 Paris,Paris,FR,48.865092,2.328464,"['Breakfast & Brunch', 'Tea Rooms', 'Patisserie/Cake Shop']",True,07:30-19:00,07:30-19:00,07:30-19:00,07:30-19:00,07:30-19:30,08:30-19:30,08:30-19:30
12,KggnM_Z4wOa_JExunaaWHg,le-temps-des-cerises-paris-5,Le Temps des Cerises,https://s3-media4.fl.yelpcdn.com/bphoto/UqeDuXHQOBoBoKWguRUsFg/o.jpg,https://www.yelp.com/biz/le-temps-des-cerises-paris-5?adjust_creative=UK7s4vpkX9H0hgrhe5u5xA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UK7s4vpkX9H0hgrhe5u5xA,390,4.4,€€€,+33 1 42 72 08 63,"31 rue de la Cerisaie, 75004 Paris, France",75004 Paris,Paris,FR,48.852569,2.364184,"['French', 'Bistros', 'Cafes']",True,19:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00
13,70xArgLO0k56YAytyBIHyg,baguetts-café-paris,Baguett's Café,https://s3-media3.fl.yelpcdn.com/bphoto/supDX-qSqTR7bXZin1pZ8g/o.jpg,https://www.yelp.com/biz/baguetts-caf%C3%A9-paris?adjust_creative=UK7s4vpkX9H0hgrhe5u5xA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UK7s4vpkX9H0hgrhe5u5xA,257,4.5,€€,+33 9 54 83 04 86,"33 rue de Richelieu, 75001 Paris, France",75001 Paris,Paris,FR,48.86528,2.33657,"['Cafes', 'Breakfast & Brunch']",True,08:30-16:00,08:30-16:00,08:30-16:00,08:30-16:00,08:30-16:00,09:00-16:30,09:00-16:30
14,pztzge22A_c_BfzLHCmaMw,le-bistro-du-périgord-paris-3,Le Bistro du Périgord,https://s3-media1.fl.yelpcdn.com/bphoto/kT9tcdFokBM__2aZIi8LcQ/o.jpg,https://www.yelp.com/biz/le-bistro-du-p%C3%A9rigord-paris-3?adjust_creative=UK7s4vpkX9H0hgrhe5u5xA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UK7s4vpkX9H0hgrhe5u5xA,393,4.5,€€€,+33 1 43 29 67 49,"71 rue Saint-Jacques, 75005 Paris, France",75005 Paris,Paris,FR,48.8498092201519,2.34515282327701,['Bistros'],False,07:00-22:30,07:00-22:30,07:00-22:30,07:00-22:30,07:00-22:30,09:00-22:30,
15,xcC4XZCk2cSPxfHGKcGfPg,chez-alain-miam-miam-paris,Chez Alain Miam Miam,https://s3-media1.fl.yelpcdn.com/bphoto/_GusjFG6H71L9tVYEy-XEA/o.jpg,https://www.yelp.com/biz/chez-alain-miam-miam-paris?adjust_creative=UK7s4vpkX9H0hgrhe5u5xA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UK7s4vpkX9H0hgrhe5u5xA,202,4.6,€€,+33 1 83 97 04 15,"26 rue Charlot, 75003 Paris, France",75003 Paris,Paris,FR,48.862262,2.362023,"['Creperies', 'Bakeries', 'Sandwiches']",False,,,09:00-15:30,09:00-15:30,09:00-15:30,09:00-17:30,09:00-15:00
16,26Ts-2XRSeqiweSwLuyv6Q,grenouilles-paris,Grenouilles,https://s3-media4.fl.yelpcdn.com/bphoto/6VVYJaAIU7mcANKclb52FA/o.jpg,https://www.yelp.com/biz/grenouilles-paris?adjust_creative=UK7s4vpkX9H0hgrhe5u5xA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UK7s4vpkX9H0hgrhe5u5xA,57,4.8,€,+33 6 08 69 51 16,"55 rue du Chevalier de la Barre, 75018 Paris, France",75018 Paris,Paris,FR,48.8871061857917,2.34178242552619,"['Sandwiches', 'Delicatessen']",False,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-19:00,09:00-18:00
17,FFz-WusZrBYZexKqhqzCkg,l-as-du-fallafel-paris,L'As du Fallafel,https://s3-media1.fl.yelpcdn.com/bphoto/_u-hgufF2UGdHadGxrkvuA/o.jpg,https://www.yelp.com/biz/l-as-du-fallafel-paris?adjust_creative=UK7s4vpkX9H0hgrhe5u5xA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UK7s4vpkX9H0hgrhe5u5xA,2083,4.3,€€,+33 1 48 87 63 60,"34 rue des Rosiers, 75004 Paris, France",75004 Paris,Paris,FR,48.857498,2.35908,"['Kosher', 'Sandwiches', 'Falafel']",False,11:00-00:00,11:00-00:00,11:00-00:00,11:00-00:00,11:00-17:00,,11:00-00:00
18,WHHt_Jb8Tgidn9mW7oDnIg,la-coïncidence-paris-4,La Coïncidence,https://s3-media1.fl.yelpcdn.com/bphoto/b0oaxZUFu4RpZ7cCW6j2XA/o.jpg,https://www.yelp.com/biz/la-co%C3%AFncidence-paris-4?adjust_creative=UK7s4vpkX9H0hgrhe5u5xA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UK7s4vpkX9H0hgrhe5u5xA,517,4.5,€€,+33 1 47 55 96 44,"15 rue Mesnil, 75116 Paris, France",75116 Paris,Paris,FR,48.868105,2.284365,['French'],True,19:00-23:00,19:00-22:30,19:00-22:30,19:00-22:30,19:00-22:30,19:00-23:00,
19,ZcmC2dyO-PT_vagdmx3u9g,kitchen-paris-3,Kitchen,https://s3-media3.fl.yelpcdn.com/bphoto/NfF0QLXH368rEDJmFZYN-A/o.jpg,https://www.yelp.com/biz/kitchen-paris-3?adjust_creative=UK7s4vpkX9H0hgrhe5u5xA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UK7s4vpkX9H0hgrhe5u5xA,244,4.3,€€,+33 9 52 55 11 66,"74 rue des Gravilliers, 75003 Paris, France",75003 Paris,Paris,FR,48.864506,2.354586,"['Breakfast & Brunch', 'Vegetarian', 'Juice Bars & Smoothies']",True,08:00-15:00,08:00-15:00,08:00-15:00,08:00-15:00,08:00-15:00,08:00-16:00,08:00-16:00
20,-CzdIyalU-Q8BL8xt_fAig,salento-marais-paris-9,Salento Marais,https://s3-media1.fl.yelpcdn.com/bphoto/cKIxNn8v1Mvkf_XBpLGPqg/o.jpg,https://www.yelp.com/biz/salento-marais-paris-9?adjust_creative=UK7s4vpkX9H0hgrhe5u5xA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UK7s4vpkX9H0hgrhe5u5xA,76,4.5,€€€,+33 1 40 29 03 03,"6 rue de Jarente, Place du Marché-Sainte-Catherine, 75004 Paris, France",75004 Paris,Paris,FR,48.85575,2.36293,['Italian'],True,19:00-22:30,19:00-22:30,19:00-22:30,19:00-22:30,19:00-22:30,19:00-22:30,19:00-22:30
21,ctP4c3mwVO5oOzLI48LtuQ,les-antiquaires-paris,Les Antiquaires,https://s3-media1.fl.yelpcdn.com/bphoto/AA7Q8sqbrP9qiGLd1DWfEA/o.jpg,https://www.yelp.com/biz/les-antiquaires-paris?adjust_creative=UK7s4vpkX9H0hgrhe5u5xA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UK7s4vpkX9H0hgrhe5u5xA,525,4.4,€€€,+33 1 42 61 08 36,"13 rue du Bac, 75007 Paris, France",75007 Paris,Paris,FR,48.8580664639432,2.32823697067099,['Bistros'],True,07:00-00:00,07:00-00:00,07:00-00:00,07:00-00:00,07:00-00:00,07:00-00:00,07:00-00:00
22,ePu3Me3SA4lVM-wGzKk0xA,le-bistro-lyonnais-paris,Le Bistro Lyonnais,https://s3-media2.fl.yelpcdn.com/bphoto/8yxPIyVPasV-H1LH-j94MA/o.jpg,https://www.yelp.com/biz/le-bistro-lyonnais-paris?adjust_creative=UK7s4vpkX9H0hgrhe5u5xA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UK7s4vpkX9H0hgrhe5u5xA,32,4.4,€€,+33 1 55 78 06 42,"6 rue Michel Chasles, 75012 Paris, France",75012 Paris,Paris,FR,48.84698,2.37383,['French'],True,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00
23,n601y41nOORUePsM7KsuaA,gambino-paris-2,Gambino,https://s3-media2.fl.yelpcdn.com/bphoto/WS3FxY9FFhmx68ZQY2jWvg/o.jpg,https://www.yelp.com/biz/gambino-paris-2?adjust_creative=UK7s4vpkX9H0hgrhe5u5xA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UK7s4vpkX9H0hgrhe5u5xA,263,4.3,€€,+33 1 42 60 12 70,"6 rue Gomboust, 75001 Paris, France",75001 Paris,Paris,FR,48.86736,2.33298,['Italian'],True,19:00-23:00,19:00-23:00,19:00-23:00,19:00-23:00,19:00-23:00,19:00-23:00,
24,S1Q2QtWcLP8LUsNeQB7ipQ,pierre-sang-paris-5,Pierre Sang,https://s3-media2.fl.yelpcdn.com/bphoto/0HaY3dPKSl0Bb0egpq6FkQ/o.jpg,https://www.yelp.com/biz/pierre-sang-paris-5?adjust_creative=UK7s4vpkX9H0hgrhe5u5xA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UK7s4vpkX9H0hgrhe5u5xA,169,4.4,€€€,+33 1 48 07 12 04,"55 rue Oberkampf, 75011 Paris, France",75011 Paris,Paris,FR,48.86461,2.37233,"['French', 'Korean']",False,19:00-22:30,19:00-22:30,19:00-22:30,19:00-22:30,19:00-22:30,19:00-22:30,19:00-22:30
25,SkZWjUwmNgcCJJQvgJT1DQ,la-jacobine-paris,La Jacobine,https://s3-media2.fl.yelpcdn.com/bphoto/z58ZZ6J9ZIs7IWn1_y2WKQ/o.jpg,https://www.yelp.com/biz/la-jacobine-paris?adjust_creative=UK7s4vpkX9H0hgrhe5u5xA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UK7s4vpkX9H0hgrhe5u5xA,392,4.5,€€€,+33 1 46 34 15 95,"59-61 rue Saint-André des Arts, 75006 Paris, France",75006 Paris,Paris,FR,48.8532345157095,2.33900494873524,"['Tea Rooms', 'French']",False,18:00-23:30,12:00-23:30,12:00-23:30,12:00-23:30,12:00-23:30,12:00-23:30,12:00-23:30
26,hnCLffW_PtwlcMDCN_ArIQ,l-olivier-du-marais-paris,L'Olivier du Marais,https://s3-media4.fl.yelpcdn.com/bphoto/v4dcdIw7Bj4vq6rxeCPkeQ/o.jpg,https://www.yelp.com/biz/l-olivier-du-marais-paris?adjust_creative=UK7s4vpkX9H0hgrhe5u5xA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UK7s4vpkX9H0hgrhe5u5xA,5,4.8,,+33 1 71 20 59 54,"16 place des Vosges, 75004 Paris, France",75004 Paris,Paris,FR,48.85553,2.36657,['French'],False,12:00-15:00,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,10:00-22:00
27,RH5bqc88_M4izFoaPoTW0g,la-grange-aux-canards-paris,La Grange aux Canards,https://s3-media3.fl.yelpcdn.com/bphoto/Lim6zV6vnkeiSt3KLDNRLw/o.jpg,https://www.yelp.com/biz/la-grange-aux-canards-paris?adjust_creative=UK7s4vpkX9H0hgrhe5u5xA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UK7s4vpkX9H0hgrhe5u5xA,27,4.4,,+33 1 44 41 14 09,"23 rue Frédéric Sauton, 75005 Paris, France",75005 Paris,Paris,FR,48.85058,2.34901,['French'],False,,,,,,,
28,DwZsEW-rBrBBLHioGdKoAg,la-fontaine-de-mars-paris-2,La Fontaine de Mars,https://s3-media3.fl.yelpcdn.com/bphoto/uI4ifexZBDt-tW1Im7B_8w/o.jpg,https://www.yelp.com/biz/la-fontaine-de-mars-paris-2?adjust_creative=UK7s4vpkX9H0hgrhe5u5xA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UK7s4vpkX9H0hgrhe5u5xA,368,4.4,€€€,+33 1 47 05 46 44,"129 rue Saint-Dominique, 75007 Paris, France",75007 Paris,Paris,FR,48.858394,2.302568,['French'],True,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00
29,657yy3D4SwyQN3xIjG1Iww,le-potager-du-père-thierry-paris-2,Le Potager du Père Thierry,https://s3-media3.fl.yelpcdn.com/bphoto/GCM6aNgVyOXOEfK3C2uP4w/o.jpg,https://www.yelp.com/biz/le-potager-du-p%C3%A8re-thierry-paris-2?adjust_creative=UK7s4vpkX9H0hgrhe5u5xA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UK7s4vpkX9H0hgrhe5u5xA,498,4.6,€€,+33 1 53 28 26 20,"16 rue des Trois Frères, 75018 Paris, France",75018 Paris,Paris,FR,48.884476,2.341335,['French'],False,19:00-23:00,19:00-23:00,19:00-23:00,19:00-23:00,19:00-00:00,19:00-00:00,19:00-23:00
30,YRMHyCvqMz_lLgpqjNj_tw,la-droguerie-du-marais-paris,La Droguerie du Marais,https://s3-media1.fl.yelpcdn.com/bphoto/4bbRoJLohrUJ9o7RU4jhtg/o.jpg,https://www.yelp.com/biz/la-droguerie-du-marais-paris?adjust_creative=UK7s4vpkX9H0hgrhe5u5xA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UK7s4vpkX9H0hgrhe5u5xA,225,4.6,€,,"56 rue des Rosiers, 75004 Paris, France",75004 Paris,Paris,FR,48.85789,2.35797,['Creperies'],False,,,,,,,
31,MqdwabesLORy1qtSiv2NKA,le-colimaçon-paris-4,Le Colimaçon,https://s3-media3.fl.yelpcdn.com/bphoto/_D9wgGo2EwuJ_KiVP6tlQA/o.jpg,https://www.yelp.com/biz/le-colima%C3%A7on-paris-4?adjust_creative=UK7s4vpkX9H0hgrhe5u5xA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UK7s4vpkX9H0hgrhe5u5xA,166,4.3,€€€,+33 1 48 87 12 01,"44 rue Vieille du Temple, 75004 Paris, France",75004 Paris,Paris,FR,48.8580235883243,2.35806396197131,"['French', 'Bistros', 'Steakhouses']",False,18:30-22:45,18:30-22:45,18:30-22:45,18:30-22:45,18:30-22:45,18:30-22:45,18:30-22:45
32,E3PvQMOiAnCVTUgPSU1mJQ,le-volant-basque-paris,Le Volant Basque,https://s3-media2.fl.yelpcdn.com/bphoto/9FaZ3uS02TxGfCOwkUXdaQ/o.jpg,https://www.yelp.com/biz/le-volant-basque-paris?adjust_creative=UK7s4vpkX9H0hgrhe5u5xA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UK7s4vpkX9H0hgrhe5u5xA,260,4.6,€€,+33 1 45 75 27 67,"13 rue Béatrix Dussane, 75015 Paris, France",75015 Paris,Paris,FR,48.8499,2.29127,['Basque'],True,19:00-22:30,19:00-22:30,19:00-22:30,19:00-22:30,19:00-22:30,19:00-22:30,
33,j2mUHWVXSKSkEuHJao_wKg,shakespeare-and-company-paris,Shakespeare and Company,https://s3-media4.fl.yelpcdn.com/bphoto/S8ThIH2lRIp4jaBClmFYTQ/o.jpg,https://www.yelp.com/biz/shakespeare-and-company-paris?adjust_creative=UK7s4vpkX9H0hgrhe5u5xA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UK7s4vpkX9H0hgrhe5u5xA,361,4.5,€€,+33 1 43 25 40 93,"37 rue de la Bûcherie, 75005 Paris, France",75005 Paris,Paris,FR,48.852658704771,2.3469621526521,"['Bookstores', 'Cafes']",False,09:30-22:00,09:30-22:00,09:30-22:00,09:30-22:00,09:30-22:00,09:30-22:00,09:30-20:00
34,28m3vU-aLX76lMEyT3WL5Q,pain-vin-fromages-paris,Pain Vin Fromages,https://s3-media2.fl.yelpcdn.com/bphoto/gBaxX3MHScEyCWpLGzG2Ew/o.jpg,https://www.yelp.com/biz/pain-vin-fromages-paris?adjust_creative=UK7s4vpkX9H0hgrhe5u5xA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UK7s4vpkX9H0hgrhe5u5xA,279,4.4,€€,+33 1 42 74 07 52,"3 rue Geoffroy-l'Angevin, 75004 Paris, France",75004 Paris,Paris,FR,48.860525,2.354439,['Fondue'],True,19:00-23:30,19:00-23:30,19:00-23:30,19:00-23:30,19:00-23:30,19:00-23:30,19:00-23:30
35,36bmPjOYLp6-Ql_IEiSQUw,sacré-frenchy-paris-2,Sacré Frenchy !,https://s3-media4.fl.yelpcdn.com/bphoto/_5DssAjx94BcD86v4VU96Q/o.jpg,https://www.yelp.com/biz/sacr%C3%A9-frenchy-paris-2?adjust_creative=UK7s4vpkX9H0hgrhe5u5xA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UK7s4vpkX9H0hgrhe5u5xA,27,4.7,,+33 1 42 74 55 63,"58 boulevard de Sebastopol, 75003 Paris, France",75003 Paris,Paris,FR,48.86319,2.35106,"['French', 'Bars']",True,00:00-23:00,11:30-23:00,11:30-23:00,11:30-02:00 (overnight),11:30-02:00 (overnight),11:30-02:00 (overnight),11:30-22:30
36,Vc-sEV8jnXpHbFeUvP5tLA,le-relais-de-l-entrecôte-paris-4,Le Relais de l'Entrecôte,https://s3-media2.fl.yelpcdn.com/bphoto/VMKPt5fG6PNQn0XnmDvYXQ/o.jpg,https://www.yelp.com/biz/le-relais-de-l-entrec%C3%B4te-paris-4?adjust_creative=UK7s4vpkX9H0hgrhe5u5xA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UK7s4vpkX9H0hgrhe5u5xA,566,4.1,€€€,+33 1 45 49 16 00,"20 rue Saint Benoît, 75006 Paris, France",75006 Paris,Paris,FR,48.85469,2.3329,['Steakhouses'],False,19:00-23:30,19:00-23:30,19:00-23:30,19:00-23:30,19:00-23:30,19:00-23:30,19:00-23:30
37,n-XIbgR-Gwb1CqBMyjwj0w,chez-fernand-paris,Chez Fernand,https://s3-media4.fl.yelpcdn.com/bphoto/bM8eBinKBCStRy5ye5oi8w/o.jpg,https://www.yelp.com/biz/chez-fernand-paris?adjust_creative=UK7s4vpkX9H0hgrhe5u5xA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UK7s4vpkX9H0hgrhe5u5xA,264,4.4,€€€,+33 1 43 25 18 55,"9 rue Christine, 75006 Paris, France",75006 Paris,Paris,FR,48.85461,2.33954,['French'],False,19:30-23:00,19:30-23:00,19:30-23:00,19:30-23:00,19:30-23:00,19:30-23:00,19:30-23:00
